ask,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,longName,postMarketPrice,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,shortName,symbol,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent
149.26,125.0302,24.229797,0.19379157,Nucor Corporation,149,149.26,153.36,147.1302 - 153.36,147.1302,2252528,148.65,Nucor Corporation,NUE,111.8229,37.437096,0.33478916
56.91,59.5212,-2.9811974,-0.050086312,V.F. Corporation,56.68,56.54,57.36,55.645 - 57.36,55.645,2480296,56.86,V.F. Corporation,VFC,71.2108,-14.670799,-0.2060193
169.99,166.4024,3.3575897,0.020177532,"PepsiCo, Inc.",169.76,169.76,169.92,167.37 - 169.92,167.37,3009388,167.38,"Pepsico, Inc.",PEP,161.1783,8.581696,0.05324349
124.78,129.289,-4.2590027,-0.032941725,Kimberly-Clark Corporation,125.05,125.03,125.08,122.395 - 125.08,122.395,1529015,123.16,Kimberly-Clark Corporation,KMB,134.0601,-9.030106,-0.067358635
118.05,121.809,-3.2289963,-0.026508685,Abbott Laboratories,118.01,118.58,119.25,117.27 - 119.25,117.27,4314111,118.36,Abbott Laboratories,ABT,124.3418,-5.761795,-0.04633836
272.5,265.3614,-2.8613892,-0.01078299,"Becton, Dickinson and Company",261.06,262.5,263.64,258.14 - 263.64,258.14,1354625,259.33,"Becton, Dickinson and Company",BDX,252.93436,9.565643,0.037818678
133.13,139.943,-5.9329987,-0.042395826,"PPG Industries, Inc.",134.54,134.01,134.06,131.2685 - 134.06,131.2685,992891,131.07,"PPG Industries, Inc.",PPG,156.2982,-22.288208,-0.14260054
211.09,213.7272,-3.18721,-0.014912515,Target Corporation,210,210.54,214.13,209.61 - 214.13,209.61,3149568,212.22,Target Corporation,TGT,236.92744,-26.387451,-0.11137355
515.51,488.2858,29.26419,0.059932504,"W.W. Grainger, Inc.",517.55,517.55,520,508.42 - 520.0,508.42,255406,515.79,"W.W. Grainger, Inc.",GWW,464.39066,53.159332,0.11447115
163.25,147.5516,15.128387,0.102529466,AbbVie Inc.,162.19,162.68,163.07,160.1 - 163.07,160.1,5703304,162.11,AbbVie Inc.,ABBV,125.0814,37.598595,0.30059302
211.26,218.8268,-8.676804,-0.03965147,Illinois Tool Works Inc.,209.48,210.15,210.96,206.895 - 210.96,206.895,1015066,209.4,Illinois Tool Works Inc.,ITW,227.0607,-16.910706,-0.074476585
82.22,81.167,1.2430038,0.015314152,Sysco Corporation,82.11,82.41,82.46,81.4 - 82.46,81.4,2725499,81.65,Sysco Corporation,SYY,77.92335,4.486656,0.057577815
140.56,159.1642,-18.264206,-0.11475071,"Stanley Black & Decker, Inc.",140.8,140.9,141.7,138.93 - 141.7,138.93,1970604,139.79,"Stanley Black & Decker, Inc.",SWK,182.72745,-41.827454,-0.22890624
123.56,120.529,3.701004,0.030706337,Federal Realty Investment Trust,124,124.23,124.3,121.93 - 124.3,121.93,576928,122.07,Federal Realty Investment Trust,FRT,122.61465,1.6153564,0.0131742535
52.27,48.8912,3.5287971,0.07217653,Hormel Foods Corporation,52.35,52.42,52.44,51.4 - 52.44,51.4,1939337,51.54,Hormel Foods Corporation,HRL,46.0298,6.3901978,0.1388274
202.4,225.326,-22.92601,-0.101745956,"Lowe's Companies, Inc.",202.3,202.4,204.16,201.41 - 204.16,201.41,4827182,202.19,"Lowe's Companies, Inc.",LOW,220.7094,-18.309402,-0.08295706
178.96,170.095,8.095001,0.04759106,Johnson & Johnson,178.96,178.19,178.43,175.6 - 178.43,175.6,6525643,177.23,Johnson & Johnson,JNJ,167.9182,10.271805,0.06117148
76.77,78.087,-1.6669998,-0.021347981,Colgate-Palmolive Company,76.41,76.42,76.44,75.1162 - 76.44,75.1162,6464694,75.83,Colgate-Palmolive Company,CL,79.017,-2.5970001,-0.032866348
62.83,60.873,1.9969978,0.032805968,The Coca-Cola Company,62.83,62.87,62.95,62.085 - 62.95,62.085,12462732,62,Coca-Cola Company (The),KO,57.22245,5.6475487,0.09869463
112.89,105.33,7.189995,0.0682616,Medtronic plc,112.58,112.52,112.64,110.8682 - 112.64,110.8682,3552061,110.95,Medtronic plc.,MDT,117.467,-4.947006,-0.04211401
142.93,146.8336,-4.003601,-0.027266245,The Clorox Company,142.5,142.83,142.95,137.56 - 142.95,137.56,1388367,139.03,Clorox Company (The),CLX,164.7404,-21.9104,-0.13299955
249.5,245.7016,3.5484009,0.014441912,McDonald's Corporation,249.25,249.25,249.43,246.22 - 249.43,246.22,2023154,247.28,McDonald's Corporation,MCD,246.0059,3.2440948,0.013187061
55.15,58.435,-3.5550003,-0.06083683,Pentair plc,55.14,54.88,55.13,54.28 - 55.13,54.28,1489277,54.21,Pentair plc.,PNR,69.51135,-14.631351,-0.21048866
43.89,48.0954,-4.235401,-0.088062495,"Walgreens Boots Alliance, Inc.",43.9,43.86,44.77,43.18 - 44.77,43.18,15009387,44.77,"Walgreens Boots Alliance, Inc.",WBA,48.77795,-4.9179497,-0.100823216
234.56,208.9494,24.550598,0.117495425,"Automatic Data Processing, Inc.",234.19,233.5,233.89,227.087 - 233.89,227.087,1934854,227.54,"Automatic Data Processing, Inc.",ADP,214.5636,18.936401,0.08825542
91.86,79.7702,11.399796,0.14290795,Archer-Daniels-Midland Company,91.17,91.17,91.48,90.26 - 91.48,90.26,2761976,90.26,Archer-Daniels-Midland Company,ADM,67.06075,24.109245,0.3595135
95.55,86.9412,9.1688,0.10545979,"Consolidated Edison, Inc.",96,96.11,96.11,93.63 - 96.11,93.63,1906898,94.68,"Consolidated Edison, Inc.",ED,79.5095,16.600502,0.2087864
35.49,37.5224,-1.9924011,-0.05309898,"Leggett & Platt, Incorporated",36.3499,35.53,35.56,34.89 - 35.56,34.89,1781557,34.8,"Leggett & Platt, Incorporated",LEG,43.7256,-8.195602,-0.18743259
467.5,398.7336,9.146393,0.022938605,S&P Global Inc.,409.75,407.88,412.195,405.64 - 412.195,405.64,1721945,410.18,S&P Global Inc.,SPGI,431.55756,-23.677551,-0.054865338
155.49,147.189,5.6710052,0.038528733,"T. Rowe Price Group, Inc.",153.4,152.86,153.525,151.675 - 153.525,151.675,1159538,151.19,"T. Rowe Price Group, Inc.",TROW,190.0324,-37.172394,-0.19561082
104.95,98.1708,3.749199,0.03819057,"McCormick & Company, Incorporated",102,101.92,102.19,99.7611 - 102.19,99.7611,1876433,99.8,"McCormick & Company, Incorporat",MKC,89.38885,12.531151,0.14018697
,,,,,,,,,,,,,BF.B,,,
457,385.5404,38.3396,0.09944379,Cintas Corporation,423.88,423.88,428.44,421.34 - 428.44,421.34,447544,425.39,Cintas Corporation,CTAS,402.387,21.493011,0.053413782
12.55,11.557,-0.017000198,-0.0014709871,Amcor plc,11.61,11.54,11.54,11.34 - 11.54,11.34,7980931,11.33,Amcor plc,AMCR,11.81245,-0.27245045,-0.023064684
250.11,247.7316,1.2584076,0.0050797216,"Air Products and Chemicals, Inc.",250.05,248.99,253.24,247.665 - 253.24,247.665,1473347,249.91,"Air Products and Chemicals, Inc",APD,276.7221,-27.732101,-0.100216426
65,62.7282,2.1117973,0.033665836,Aflac Incorporated,64.59,64.84,65.15,64.23 - 65.15,64.23,2163997,64.39,AFLAC Incorporated,AFL,57.4954,7.344597,0.12774234
83.11,79.7262,3.3938065,0.042568274,Exxon Mobil Corporation,83.11,83.12,84.14,82.02 - 84.14,82.02,18663554,82.59,Exxon Mobil Corporation,XOM,65.488,17.632004,0.26924023
27.86,29.5714,-1.6413994,-0.055506315,"Franklin Resources, Inc.",27.77,27.93,28.23,27.581 - 28.23,27.581,3882351,27.92,"Franklin Resources, Inc.",BEN,31.594,-3.6639996,-0.11597137
253.66,265.0396,-9.829605,-0.037087306,The Sherwin-Williams Company,255.05,255.21,255.37,249.64 - 255.37,249.64,1378271,249.62,Sherwin-Williams Company (The),SHW,296.26544,-41.055435,-0.13857652
